At what vertebral level does the trachea typically begin?,The level of the sixth cervical vertebra (C6).
"On the left lung, the anterior border shows a depression below the fourth costal cartilage known as the _____ notch.",Cardiac
What is the name of the small process at the lower end of the cardiac notch on the left superior lobe?,The lingula.
The 'lobe of the _____ vein' is a common variant in the right lung caused by the terminal part of that vein dipping into the lung tissue.,Azygos
"Which surface of the lung contains the hilum, where the principal bronchus and pulmonary vessels enter?",The medial (mediastinal) surface.
The _____ ligament is a fold of pleura extending downwards from the hilum to the diaphragm.,Pulmonary
What is the structural and functional unit of the lung supplied by a tertiary bronchus?,A bronchopulmonary segment.
How many bronchopulmonary segments are typically identified in the right lung?,Ten.
List the three segments of the superior lobe of the right lung.,"1. Apical, 2. Posterior, 3. Anterior."
Which two bronchopulmonary segments compose the middle lobe of the right lung?,4. Lateral and 5. Medial.
"In the left lung, which two segments are often fused in the superior lobe?",The apical and posterior segments (apicoposterior).
What are the names of the two lingular segments in the left lung?,Superior lingular and inferior lingular.
The pulmonary _____ convey deoxygenated blood from the heart to the lungs.,Arteries
The pulmonary _____ convey oxygenated blood from the lungs to the left atrium.,Veins
Which circulatory pathway provides oxygenated blood to the tissues of the bronchi and larger bronchioles?,The bronchial circulation (bronchial arteries).
The serous membrane that adheres closely to the surface of the lung and its fissures is the _____ pleura.,Visceral (pulmonary)
What is the name for the layer of pleura that lines the thoracic wall?,Parietal pleura.
The potential space between the visceral and parietal pleurae is called the _____.,Pleural cavity
Which region of the parietal pleura covers the pulmonary apices in the root of the neck?,Cervical pleura (dome of the pleura).
What nerves innervate the costal and peripheral diaphragmatic parietal pleura?,Intercostal nerves.
Which nerve innervates the mediastinal and central diaphragmatic parietal pleura?,The phrenic nerve.
Irritation of the diaphragmatic pleura causes referred pain to which area of the body?,"The lower neck and shoulder tip (C3, 4 dermatomes)."
True or False: The visceral pleura is sensitive to pain in the same way as the parietal pleura.,False (it is innervated by visceral afferents and is insensitive to common pain).
What is the clinical term for the accumulation of air within the pleural cavity?,Pneumothorax.
Which life-threatening condition occurs when air enters the pleural space during inspiration but cannot escape during expiration?,Tension pneumothorax.
What is the term for a collection of pus within the pleural cavity?,Empyema.
The parietal pleura develops from the _____ layer of the lateral plate mesoderm.,Somatopleural
The visceral pleura develops from the _____ layer of the lateral plate mesoderm.,Splanchnopleural
Which structures are responsible for the uptake of oxygen and removal of carbon dioxide?,The lungs.
The surfactant that reduces surface tension in the alveoli is primarily secreted by _____ pneumocytes.,Type II
Which lung border separates the base from the costal surface and extends into the costodiaphragmatic recess?,The inferior border.
Surface Anatomy: The oblique fissure of the lung approximately follows the medial border of which bone when the arm is fully abducted?,The scapula.
The horizontal fissure of the right lung typically corresponds to the level of the _____ costal cartilage anteriorly.,Fourth
Which lung surface is deeply concave to adapt to the shape of the heart?,The mediastinal surface (specifically the cardiac impression).
The _____ bronchi are the primary branches that result from the bifurcation of the trachea.,Principal (or main)
"Which principal bronchus is wider, shorter, and more vertical?",The right principal bronchus.
Vagal fibers to the lungs act as _____ and secretomotor to the bronchial muscles and glands.,Bronchoconstrictors
Efferent sympathetic fibers to the lungs generally cause the bronchial smooth muscle to _____.,Relax (bronchodilation)
Where are the pulmonary plexuses located relative to the hilar structures?,Anterior and posterior to the hilar structures.
What is the smallest subsection of the lung that is bounded by connective tissue septa and contains about six terminal bronchioles?,The secondary lobule.
The conducting airways terminate at the _____ bronchioles.,Terminal
The site of actual gas exchange in the lungs begins at the _____ bronchioles.,Respiratory
"What are the polyhedral tissue masses, visible on the lung surface, that each receive a lobular bronchiole?",Lung lobules.
"Which artery, sometimes present in children, crosses obliquely in front of the trachea at the level of the manubrium?",The brachiocephalic artery.
A collection of blood in the pleural cavity is known as a _____.,Haemothorax
Which nerve provides sensory fibers to the mediastinal pleura?,The phrenic nerve.
By what embryological stage is the trachea clearly recognizable as a tube distinct from the esophagus?,Stage 14.
"In the bronchial tree, which tubes are the first to lack cartilaginous support in their walls?",Bronchioles (tubes less than 1\text{ mm} in diameter).
Which lymphatic nodes receive drainage from the cervical part of the trachea?,Pretracheal and paratracheal nodes.
The 'costovertebral' parietal pleura is primarily supplied by which arteries?,Intercostal and internal thoracic arteries.
Which bronchopulmonary segment is numbered 6 in both the right and left lungs?,The superior (apical) segment of the inferior lobe.
"In the left lung, the inferior lobe traditionally contains how many basal segments?","Three (Anterior basal, Lateral basal, and Posterior basal; the medial basal is usually absent or fused)."
What is the typical vertebral level of the apex of the lung posteriorly?,The seventh cervical vertebra (C7).
